conversation_no,session_id,username,user_message,matched_keyword,status,process,bot_reply,timestamp
1,c55e9d31-7706-48ed-8709-cd8d07716fba,Tobi,What is an intership?,,error,OpenRouter not configured,"I could not find a matching saved response, and OpenRouter is not configured yet. Add `OPENROUTER_API_KEY` to the project's `.env` file, restart Flask, and try again.",2026-08-03 06:04:52
2,de0ce823-7b12-4c29-ada9-614871c8d6b9,Tobi,What is an intership?,,error,OpenRouter not configured,"I could not find a matching saved response, and OpenRouter is not configured yet. Add `OPENROUTER_API_KEY` to the project's `.env` file, restart Flask, and try again.",2026-08-03 06:06:52
3,ae8e4743-7a17-478c-b81e-ca03350834b2,Tobi,What is an intership?,,answered,OpenRouter fallback (nvidia/nemotron-3-ultra-550b-a55b:free),"An **internship** is a short-term, structured work experience offered by an organization to students or recent graduates. It’s designed to give you practical exposure to a specific industry, role, or company culture while you’re still studying or just starting out.

**Key characteristics:**
- **Duration:** Typically 8–24 weeks (often during semester breaks or as a semester-long module).
- **Focus:** Learning and contribution—you apply classroom knowledge to real projects, build skills, and understand workplace dynamics.
- **Compensation:** Can be paid (monthly stipend or hourly wage), unpaid, or for academic credit. In Singapore, many internships offer a monthly allowance (commonly SGD 600–1,200 for undergraduates).
- **Outcome:** Strong internships often lead to full-time graduate offers, valuable references, and a clearer career direction.

**Why it matters:**
- Bridges theory and practice.
- Builds your professional network.
- Strengthens your resume with concrete achievements.
- Helps you test-fit a role or industry before committing long-term.

**Next steps:**
1. Check your university’s career portal (e.g., NUS TalentConnect, NTU CareerLink, SMU Career Centre) for vetted listings.
2. Tailor your resume to highlight relevant projects, CCA leadership, and coursework.
3. Prepare a 30-second “elevator pitch” for networking events and interviews.

Want tips on finding or applying for internships in a specific field?",2026-08-03 06:14:53
4,01cc6878-f390-4011-922c-e57fe477625e,Tobi,Find internships for me in software engineering or data science in Singapore,job_search,job_flow,Job flow: major detected → top three strengths,"Yes — I can match you with roles from the job dataset. I understood your **programme/major as Software Engineering**.

**Step 2 of 3: What are your top three strengths?** Separate them with commas.

Example: Python, data analysis, problem-solving.

Type **restart jobs** if the detected programme/major is incorrect.",2026-08-03 06:17:06
5,01cc6878-f390-4011-922c-e57fe477625e,Tobi,"Problem-solving, JavaScript, Communication",job_flow,job_flow,Job flow: experience level,"What is your **experience level**?

You can answer: no experience, beginner/entry level, intermediate, or advanced.",2026-08-03 06:17:52
6,01cc6878-f390-4011-922c-e57fe477625e,Tobi,Beginner,job_flow,job_flow,Job flow: dataset matches,"### Compatible jobs from the job-market dataset
Profile used: **Software Engineering** · strengths: **problem-solving, javascript, communication** · experience: **Beginner / entry level**

**1. Software Engineering — Quantom Research Capital**
- **Strong match** · Software Engineering aligns with the Technology / Data category; strength match: problem-solving
- Market details: Technology / Data · Noida · On-site
- Start: Immediately · Duration: 6 Months · Compensation: S$ 166 /month

**2. Embedded Software Engineering — Atlanta Systems Private Limited**
- **Strong match** · Software Engineering aligns with the Technology / Data category; strength match: problem-solving
- Market details: Technology / Data · Delhi · On-site
- Start: Immediately · Duration: 3 Months · Compensation: S$ 200-333 /month

**3. Mobile/Web App Software Engineering — Bempu Health**
- **Strong match** · Software Engineering aligns with the Technology / Data category; strength match: problem-solving
- Market details: Technology / Data · Bangalore · On-site
- Start: Immediately · Duration: 1 Month · Compensation: S$ 200 /month

**4. Software Development Engineering (Web) — WeSeSo Solutions Private Limited**
- **Strong match** · Software Engineering aligns with the Technology / Data category; strength match: problem-solving
- Market details: Technology / Data · Work From Home · Work From Home
- Start: Immediately · Duration: 6 Months · Compensation: S$ 67-200 /month

**5. Software Testing Engineering — AICAN Private Limited**
- **Strong match** · Software Engineering aligns with the Technology / Data category; strength match: problem-solving
- Market details: Technology / Data · Mumbai · On-site
- Start: Immediately · Duration: 3 Months · Compensation: S$ 67-133 /month

Reply **apply 1**, **apply 2**, etc. to create a focused application for that role, or type **more jobs**.

*These are records from your uploaded job dataset, not a live vacancy feed. Verify that each listing is still active before applying.*",2026-08-03 06:17:56
7,01cc6878-f390-4011-922c-e57fe477625e,Tobi,How long should an internship last to be considered as valid?,job_flow,job_flow,Job flow: choose a job,"Choose a result by replying **apply 1**, **apply 2**, etc. You can also type **more jobs**, **restart jobs**, or **cancel jobs**.",2026-08-03 06:18:27
8,76eca1c4-576d-44c1-bb73-24be244c8181,Tobi,What is an intership?,,answered,OpenRouter fallback (nvidia/nemotron-3-ultra-550b-a55b:free),"An **internship** is a short-term, structured work experience—usually lasting a few weeks to several months—where students or recent graduates apply classroom knowledge in a real workplace.

| Key traits | What it looks like |
|------------|-------------------|
| **Duration** | 4–12 weeks (summer) or 3–6 months (semester/year-long) |
| **Pay** | Paid (monthly stipend/salary), unpaid, or academic-credit only—varies by country, industry, and company size |
| **Structure** | Defined learning objectives, a supervisor/mentor, regular feedback, and often a final project or presentation |
| **Outcome** | Skill development, industry exposure, professional network, resume bullet points, and sometimes a return offer |

### Why it matters
- **Career test-drive** – confirms (or redirects) your interest in a role/industry.  
- **Employability** – employers in Singapore and globally treat relevant internships as strong signals of readiness.  
- **Network** – you meet mentors, peers, and potential referees.  

### Quick next steps
1. **Clarify goals** – function, industry, company size, location.  
2. **Prepare materials** – tailored résumé, LinkedIn profile, 30-second pitch.  
3. **Search strategically** – university portal, MyCareersFuture, LinkedIn Jobs, company career pages, referrals.  
4. **Apply early** – many large firms open summer roles 6–9 months ahead.  

Need help polishing your résumé, finding listings, or prepping for an internship interview? Just let me know!",2026-08-03 06:29:52
9,76eca1c4-576d-44c1-bb73-24be244c8181,Tobi,Find internships for me in software engineering or data science in Singapore,job_search,job_flow,Job flow: major detected → top three strengths,"Yes — I can match you with roles from the job dataset. I understood your **programme/major as Software Engineering**.

**Step 2 of 3: What are your top three strengths?** Separate them with commas.

Example: Python, data analysis, problem-solving.

Type **restart jobs** if the detected programme/major is incorrect.",2026-08-03 06:30:03
10,76eca1c4-576d-44c1-bb73-24be244c8181,Tobi,"Problem-solving, JavaScript, Communication",job_flow,job_flow,Job flow: experience level,"What is your **experience level**?

You can answer: no experience, beginner/entry level, intermediate, or advanced.",2026-08-03 06:30:10
